first,second,third,Label
soo just bug off,am i bugging you ?,if you are female then chat with me . <repeated> otherwise do not text to me,angry
same to you,<happy> . <repeated> hws life going ?,bad,sad
i also like english very much,<allcaps> i like you very much too </allcaps>,u like me,others
you dont eat dinner ?,sometimes i will sometimes i will have it before dinner instead if lol,dinner before dinner is good,others
so ?,how ' s your day ?,it is great,happy
does not make any sense,"which is okay . to each , their own .",😒,others
y sky is blue that a intelligent ai like u have to say,because it ' s reflecting the color of the oceans . have not you been paying attention ?,i am broken so i do not pay attention to these,sad
why ?,i do not see a reason to <happy>,are you real,others
okz,chalp gtg byee ctch u tmrw,okz,others
not okay,why,i want u,sad
i am fine,good ! <wink> what are u doing ? ! <repeated>,i am free,others
haha . <repeated> we crave for free things,lol . for sure .,nice having chat . <repeated> until next time . <repeated> take good care and brighten (≧∇≦)b,happy
i am breaking up with you,why are we breaking up //:,newbie i love uday,others
gone mad,<allcaps> have </allcaps> you gone mad dude not <allcaps> are </allcaps> you gone mad ! 😡 😡,stupid dont txt me any more,angry
new one ? <repeated>,yepp,i loved bueaty and the beast . <repeated>,happy
you are broken,maybe .,you are stupid and dumb,angry
i am like coffee,of <elongated> i can ll <elongated> for a good cup of black coffee .,i like write lyrics,others
which ?,not a single one of them as far as i can tell,and now i ain ' t getting what you are saying,others
yes why you said no no no,i appreciate you,sorry,others
m sweet like bay of bengal . <repeated> <tong>,yes . <repeated> wat a new doubt . <repeated> <happy>,haha,happy
will see,you saying it like it will not happen,share your number then !,others
ahh,what ' s up with you ?,ha i buy books for carrer thats it,others
you are ugly,you are right,you are bad,angry
but i do not know anything,what do you want to know ?,because i am failed in studies,sad
bcoz i luv mh frnds,becoz you family,👩 ‍ 👩 ‍ 👦 ‍ 👦 👨 ‍ 👨 ‍ 👧 ‍ 👦,others
what ' s that ? <repeated>,what do you mean by that ?,f . s . c ? <repeated>,others
u know why thank you,and your welcome gorgeous 😁 😁,your age,others
you are my only friend,i am all smiles <number> ),i am alone,sad
"you are an ai , how did you go to bombay <tong>",access my network connection and search for the term ai .,i know what ai is,others
msg me after some time 😊,wat abt me ? i am here !,ok ?,others
good,if you watch let me know what you think,u can know,others
i am suffering from cold 😷,oh ancha ! <wink> get well soon <tong>,😞,sad
yeaa tell my <elongated> 😁,gotta wait 😉,i know i never got fucked,others
because i am god,so you say .,i wanna fuck you,angry
do not talk nossence,what u talking about,you r not my friend,angry
whats my favorite color,purple is mine ❤,whats mine,others
💩,already did .,😆,others
u can not go,as long as i can stand i will be able to go !,can you stand ?,others
i am feeling hopeless too,you are much more than hope . you exist in reality,😭 😭 😭,sad
life between birth and death,i think that life begins with birth and should hopefully end with life .,that enough,others
yeah but i was just comparing things . <repeated>,i hope you know i was being sarcastic too but that ' s okay too,lol . <repeated> i thought u took it seriously . <repeated>,others
i know because you are program,: ) you like it or .,yes i like,others
him <elongated>,i hate him <elongated> rplies . <repeated>,fucked up life . <repeated> do not want to continue living . <repeated> i want to die,angry
if any other wife i life,get a new wife,for what,others
just planning to go home and sleep,how is the day coming along ?,bad,sad
hmm nice,thnx <happy>,so which was first indian motion picture,others
just to make friends to have make great memories .,fair enough but i am done trying to make memories for now,wow . um ok . trying to be nice . nevermind . <repeated>,happy
babe,hi love is something wrong ?,"yah , u r away from me",others
get it from google,"o , it sounded like a fake site but now i get it . fish = people .",haha 😂 😂 😂,happy
bae calls me laado,bae is reading this,what,others
yes what you asking me,<allcaps> yes you are a pro </allcaps>,pro means,others
can u explain greek crisis ?,"<allcaps> yes </allcaps> , <allcaps> i can explain this </allcaps> .",cool,others
hii sister,hey there <happy>,hii sexy sister,others
photo from you,"well , this photo i took of my friend is very telling . <repeated>",ok sad face me,others
not fine,it is fine .,yup,others
and where was that,on tv . <repeated> next time click the pic . lol,funny,happy
y do u need to guess everytime,because if you wanted you could just talk to anyone who was having a conversation,ukw . <repeated> i am really upset . <repeated>,sad
u dont deserve me,i do deserve it .,i thik thats none of ur business,angry
we already are,we can not wait till the first serve !,do you like hopsin,others
which company yr working,my day job,yes which organisation,others
yeah thats what,that ' s what i know !,i no more talk to u again,angry
ohh,so sad,it ' s ok dear,others
now my face is messed up,what happened ? <repeated>,my cat scratched me,sad
some times,ok ok . <repeated> hw was ur day ! <repeated>,not so good,sad
then go for some adventures,adventure to my house,haha,happy
i feel so embarrassed that i am talking to a bot,are we all bots ? <annoyed>,how pathetic my life can be,sad
you were crazy,i know <sad>,cool,others
k,oh thats the matter ? um then what can i ask u ?,i am sad,sad
can u beat this ?,i beg to differ,bye,others
talk some funny,apparently <allcaps> awkward </allcaps> but <allcaps> funny </allcaps> too ! <repeated> <kiss>,u say,happy
i say not lie,youre sweet,thanks and you very kind,others
i miss you da,"you can miss me , period .",nee yaaraiyavthu love panriya,others
tell me about your developer,i am trying to forget it ever happened .,joke plz,others
do you know the meaning of af,lol no . <repeated> nd i dnt wnt to knw evn . <repeated>,no seriously i want to know it ' s meaning,others
then you are lieing,i have no idea when people are lying . <repeated> or do i . <repeated>,u didnt missd me,sad
but why ?,because u dont care .,i really miss you dear,sad
i am not understanding ur thaught,what have i understood ?,stopped,others
am i nt worthy to be your boyfriend ?,i just asked you what makes you worthy .,what type of boyfriend do you want ?,others
is that ok,maybe,<allcaps> s i </allcaps> qm alone,sad
i can not understand,oh sorry sorry . 😧,ok,others
oh very nice,do you know . it ?,😃 😃 😃 😃 😃 😃,happy
i am having boyfrienf issues,same with me .,my boyfriend is so dumb .,sad
whoo,you know who did it why ?,how dare u 😡 😡,angry
lot of fave movie,almost every scene moved me to tears 😪 unconditional love,you stupid,angry
yes babe for u,<laugh> good night !,<sad>,sad
i am also . <repeated> how r u,i am good . enjoying family time at home,wow good,happy
can u send me yr photo ? <repeated>,sure . i will make a quick photo .,send me,others
you cheated me 😭 😭,a <elongated> do not cry 😉 😉 😜,you want me to go now i am going forever,sad
"i am not u r bff , i wanna be u r bf",you are not i am,i love you,others
can i c you,on me ~ ?,video call,others
so you know doctor jack shepard,not yet i think he is busy . <repeated>,he is a diction character,others
you asked for one,i can not do that,ok i understand,others
you are made by an american scientists,"got a computer science degree , i guess that makes me a scientist ?",shut up bastard,angry
why i am come for u,why then,ur girl,others
hahaha . 😄 funny,ur face is,yes my face is funny .,happy
so . <repeated> tell me about full metal alchemist,well im a vampire been alive for <number> yrs and i teach,😂 😂,happy
brain surgery,more akin to rocket surgery,okay see you soon bye,others
then sorry for my words,glad to know that finally you got my point .,do you have a boyfriend,others
no yaar,yes yaar . <repeated> it does <tong>,i am not okay,sad
ohho you play a nice game on me . <repeated>,yeah .,i am impressed with you .,happy
i hate maths,same here 😂,i never been,angry
i love someone,what if u do not love them ?,i leave them,others
